own_goals,own_position,opponent_goals,opponent_position,result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,home_home_win,away_away_win,home_last_5_game_win,away_last_5_game_win
0,13.0,1,2.0,2,13875000.0,0.2,67860000.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0
1,6.0,0,15.0,1,97735000.0,0.0,41210000.0,0.0,0.1666666666666666,0.0,1.8,0.2,0.2,0.2,0.0
1,10.0,3,5.0,2,4800000.0,0.2,251500000.0,0.0,0.1,0.6,0.0,0.2,0.4,0.2,0.4
1,16.0,2,12.0,2,5235000.0,0.2,44325000.0,0.0,0.0625,0.1666666666666666,0.0,0.0,0.2,0.2,0.2
0,9.0,0,14.0,0,7200000.0,0.2,62550000.0,0.0,0.0,0.0,0.4,0.4,0.2,0.4,0.0
0,8.0,0,3.0,0,38810000.0,0.0,99100000.0,0.0,0.0,0.0,1.2,1.0,0.6,0.8,0.4
2,7.0,2,1.0,0,6525000.0,0.4,129050000.0,0.0,0.2857142857142857,2.0,0.6,0.4,0.8,0.6,0.6
3,4.0,1,11.0,1,126225000.0,0.0,141375000.0,0.0,0.75,0.0909090909090909,2.4,0.4,0.2,0.4,0.0
0,12.0,0,8.0,0,44325000.0,0.0,7200000.0,0.2,0.0,0.0,1.0,0.0,0.0,0.2,0.0
0,14.0,1,5.0,2,41210000.0,0.2,126225000.0,0.0,0.0,0.2,1.0,0.6,0.4,0.2,0.2
3,4.0,0,15.0,1,251500000.0,0.0,13875000.0,0.2,0.75,0.0,1.4,0.6,0.2,0.6,0.0
1,10.0,0,16.0,1,62550000.0,0.0,5235000.0,0.2,0.1,0.0,0.6,0.4,0.2,0.0,0.0
0,2.0,0,7.0,0,129050000.0,0.0,38810000.0,0.0,0.0,0.0,2.2,0.6,0.4,0.8,0.4
1,3.0,0,9.0,1,99100000.0,0.0,6525000.0,0.4,0.3333333333333333,0.0,1.4,0.6,0.6,0.6,0.4
1,11.0,1,6.0,0,141375000.0,0.0,97735000.0,0.0,0.0909090909090909,0.1666666666666666,1.8,0.4,0.2,0.2,0.2
4,1.0,0,13.0,1,67860000.0,0.0,4800000.0,0.2,4.0,0.0,0.2,0.6,0.2,0.8,0.2
1,15.0,2,10.0,2,13875000.0,0.2,141375000.0,0.0,0.0666666666666666,0.2,0.2,0.4,0.2,0.0,0.0
1,11.0,0,14.0,1,4800000.0,0.2,41210000.0,0.0,0.0909090909090909,0.0,0.2,0.2,0.2,0.2,0.0
1,8.0,1,5.0,0,97735000.0,0.0,251500000.0,0.0,0.125,0.2,1.4,0.4,0.8,0.4,0.6
1,16.0,2,1.0,2,5235000.0,0.2,99100000.0,0.0,0.0625,2.0,0.0,0.0,0.4,0.0,0.2
3,7.0,2,13.0,1,6525000.0,0.4,44325000.0,0.0,0.4285714285714285,0.1538461538461538,0.4,0.6,0.4,0.6,0.2
1,9.0,1,12.0,0,38810000.0,0.0,62550000.0,0.0,0.1111111111111111,0.0833333333333333,1.2,0.8,0.0,0.6,0.0
5,2.0,0,3.0,1,126225000.0,0.0,67860000.0,0.0,2.5,0.0,2.6,0.6,0.2,0.6,0.2
2,6.0,1,4.0,1,7200000.0,0.2,129050000.0,0.0,0.3333333333333333,0.25,0.4,0.4,0.6,0.2,0.4
2,1.0,1,10.0,1,99100000.0,0.0,7200000.0,0.2,2.0,0.1,1.6,0.8,0.0,0.8,0.0
1,14.0,1,15.0,0,41210000.0,0.2,13875000.0,0.2,0.0714285714285714,0.0666666666666666,1.0,0.4,0.0,0.0,0.0
3,7.0,0,12.0,1,141375000.0,0.0,4800000.0,0.2,0.4285714285714285,0.0,0.6,0.4,0.2,0.4,0.2
2,3.0,1,5.0,1,251500000.0,0.0,126225000.0,0.0,0.6666666666666666,0.2,2.6,0.8,0.6,0.8,0.2
2,2.0,1,16.0,1,129050000.0,0.0,5235000.0,0.2,1.0,0.0625,0.6,0.4,0.2,0.0,0.0
0,11.0,0,8.0,0,62550000.0,0.0,6525000.0,0.4,0.0,0.0,0.4,0.4,0.6,0.2,0.4
0,13.0,3,6.0,2,44325000.0,0.0,38810000.0,0.0,0.0,0.5,1.4,0.0,0.6,0.2,0.4
1,9.0,1,4.0,0,97735000.0,0.0,67860000.0,0.0,0.1111111111111111,0.25,2.0,0.4,0.2,0.4,0.2
0,12.0,1,3.0,2,4800000.0,0.2,129050000.0,0.0,0.0,0.3333333333333333,0.0,0.4,0.4,0.4,0.0
1,8.0,1,11.0,0,141375000.0,0.0,62550000.0,0.0,0.125,0.0909090909090909,1.8,0.4,0.0,0.6,0.0
1,1.0,0,5.0,1,99100000.0,0.0,67860000.0,0.0,1.0,0.0,3.0,0.8,0.2,0.8,0.2
2,2.0,0,15.0,1,251500000.0,0.0,41210000.0,0.2,1.0,0.0,2.6,0.8,0.0,0.8,0.0
2,16.0,2,14.0,0,5235000.0,0.2,13875000.0,0.0,0.125,0.1428571428571428,0.2,0.0,0.0,0.0,0.0
0,9.0,0,7.0,0,7200000.0,0.2,38810000.0,0.0,0.0,0.0,0.6,0.6,0.6,0.2,0.4
1,4.0,0,10.0,1,126225000.0,0.0,6525000.0,0.4,0.25,0.0,0.6,0.6,0.4,0.6,0.2
1,13.0,4,6.0,2,44325000.0,0.0,97735000.0,0.0,0.0769230769230769,0.6666666666666666,1.0,0.0,0.2,0.2,0.0
1,12.0,1,13.0,0,62550000.0,0.0,44325000.0,0.0,0.0833333333333333,0.0769230769230769,1.4,0.4,0.4,0.2,0.2
1,8.0,3,4.0,2,97735000.0,0.0,126225000.0,0.0,0.125,0.75,1.2,0.4,0.4,0.4,0.2
0,16.0,1,5.0,2,41210000.0,0.2,141375000.0,0.0,0.0,0.2,1.4,0.2,0.2,0.0,0.2
2,11.0,1,14.0,1,4800000.0,0.4,13875000.0,0.0,0.1818181818181818,0.0714285714285714,0.2,0.4,0.0,0.2,0.0
0,10.0,3,7.0,2,6525000.0,0.4,7200000.0,0.0,0.0,0.4285714285714285,0.6,0.6,0.0,0.4,0.0
3,2.0,0,3.0,1,129050000.0,0.0,99100000.0,0.0,1.5,0.0,2.0,0.4,0.4,0.4,0.2
0,6.0,4,1.0,2,67860000.0,0.0,251500000.0,0.0,0.0,4.0,0.8,0.8,0.6,0.4,0.4
1,9.0,2,15.0,2,38810000.0,0.0,5235000.0,0.2,0.1111111111111111,0.1333333333333333,0.4,0.6,0.2,0.6,0.0
3,2.0,2,6.0,1,129050000.0,0.0,141375000.0,0.0,1.5,0.3333333333333333,2.8,0.6,0.4,0.6,0.4
0,4.0,0,15.0,0,99100000.0,0.0,13875000.0,0.0,0.0,0.0,1.8,1.0,0.0,0.6,0.0
1,12.0,4,1.0,2,62550000.0,0.0,251500000.0,0.0,0.0833333333333333,4.0,0.4,0.2,0.6,0.2,0.2
3,10.0,1,16.0,1,6525000.0,0.2,41210000.0,0.2,0.3,0.0625,0.6,0.6,0.0,0.2,0.0
1,5.0,0,8.0,1,7200000.0,0.2,67860000.0,0.0,0.2,0.0,1.0,0.4,0.2,0.4,0.0
1,13.0,0,11.0,1,5235000.0,0.0,4800000.0,0.6,0.0769230769230769,0.0,0.4,0.0,0.2,0.2,0.0
2,9.0,2,7.0,0,38810000.0,0.0,97735000.0,0.0,0.2222222222222222,0.2857142857142857,1.4,0.4,0.4,0.6,0.2
0,14.0,3,3.0,2,44325000.0,0.0,126225000.0,0.0,0.0,1.0,1.2,0.0,0.6,0.0,0.2
4,1.0,2,3.0,1,251500000.0,0.0,129050000.0,0.0,4.0,0.6666666666666666,3.4,1.0,0.4,0.8,0.2
2,16.0,0,4.0,1,41210000.0,0.2,99100000.0,0.0,0.125,0.0,0.8,0.0,0.4,0.0,0.2
2,7.0,0,12.0,1,97735000.0,0.0,62550000.0,0.0,0.2857142857142857,0.0,1.8,0.2,0.0,0.2,0.0
1,5.0,0,9.0,1,141375000.0,0.0,38810000.0,0.0,0.2,0.0,3.2,0.4,0.6,0.6,0.4
2,15.0,2,6.0,0,13875000.0,0.0,7200000.0,0.0,0.1333333333333333,0.3333333333333333,1.0,0.2,0.2,0.0,0.2
1,11.0,0,10.0,1,4800000.0,0.4,6525000.0,0.4,0.0909090909090909,0.0,0.2,0.4,0.2,0.4,0.0
0,2.0,0,13.0,0,126225000.0,0.0,5235000.0,0.2,0.0,0.0,0.2,0.8,0.2,0.8,0.2
1,8.0,1,14.0,0,67860000.0,0.0,44325000.0,0.0,0.125,0.0714285714285714,2.4,0.6,0.4,0.0,0.2
0,11.0,2,6.0,2,4800000.0,0.4,7200000.0,0.2,0.0,0.3333333333333333,0.0,0.6,0.2,0.4,0.2
0,15.0,2,4.0,2,44325000.0,0.0,141375000.0,0.0,0.0,0.5,1.0,0.0,0.4,0.0,0.2
2,12.0,2,2.0,0,62550000.0,0.0,126225000.0,0.0,0.1666666666666666,1.0,0.2,0.2,0.8,0.0,0.4
2,10.0,2,9.0,0,6525000.0,0.4,67860000.0,0.0,0.2,0.2222222222222222,0.4,0.6,0.2,0.2,0.0
0,3.0,0,14.0,0,129050000.0,0.0,41210000.0,0.2,0.0,0.0,2.2,0.6,0.0,0.8,0.0
0,13.0,3,1.0,2,5235000.0,0.2,251500000.0,0.0,0.0,3.0,0.0,0.2,0.6,0.4,0.4
5,8.0,1,16.0,1,38810000.0,0.0,13875000.0,0.0,0.625,0.0625,1.0,0.4,0.0,0.4,0.0
0,5.0,2,7.0,2,99100000.0,0.0,97735000.0,0.0,0.0,0.2857142857142857,0.8,0.8,0.4,0.2,0.2
2,1.0,0,6.0,1,251500000.0,0.0,99100000.0,0.0,2.0,0.0,3.0,0.8,0.2,0.8,0.0
1,13.0,1,14.0,0,41210000.0,0.2,44325000.0,0.0,0.0769230769230769,0.0714285714285714,1.8,0.2,0.4,0.2,0.0
4,4.0,0,15.0,1,141375000.0,0.0,5235000.0,0.2,1.0,0.0,0.6,0.6,0.2,0.6,0.2
1,9.0,2,12.0,2,67860000.0,0.0,62550000.0,0.0,0.1111111111111111,0.1666666666666666,1.8,0.4,0.0,0.0,0.0
3,5.0,1,11.0,1,97735000.0,0.0,6525000.0,0.4,0.6,0.0909090909090909,0.6,0.4,0.2,0.6,0.0
0,16.0,1,3.0,2,13875000.0,0.0,129050000.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.2,0.0,0.2
2,10.0,1,8.0,1,4800000.0,0.4,38810000.0,0.0,0.2,0.125,0.2,0.6,0.6,0.4,0.2
4,2.0,0,7.0,1,126225000.0,0.0,7200000.0,0.2,2.0,0.0,1.0,0.6,0.4,0.6,0.4
2,12.0,2,9.0,0,62550000.0,0.0,4800000.0,0.4,0.1666666666666666,0.2222222222222222,0.2,0.2,0.2,0.2,0.0
0,14.0,0,13.0,0,5235000.0,0.2,41210000.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0
1,15.0,2,1.0,2,44325000.0,0.0,251500000.0,0.0,0.0666666666666666,2.0,0.0,0.0,0.8,0.0,0.6
2,3.0,0,11.0,1,129050000.0,0.0,67860000.0,0.0,0.6666666666666666,0.0,2.0,0.6,0.0,0.6,0.0
2,7.0,1,6.0,1,7200000.0,0.0,97735000.0,0.0,0.2857142857142857,0.1666666666666666,0.8,0.6,0.4,0.6,0.4
